u,v,cosine,jaccard,euclidean_similarity,combined_weight
U06,U15,0.5434558405216784,0.23076923076923078,0.6796227589829592,0.5061342636219508
U04,U06,0.5320759131759772,0.38461538461538464,0.5634773445734518,0.5046312104550714
U04,U15,0.6376943651718175,0.23076923076923078,0.5207353680235511,0.5008753824266909
U01,U12,0.5058213583720685,0.23076923076923078,0.7170530693146336,0.5004278397541286
U01,U08,0.6504171416322745,0.21428571428571427,0.506529034502959,0.49821785265683977
U06,U16,0.580725998234811,0.4166666666666667,0.4401941656067274,0.4975516155543498
U05,U08,0.6247802313868195,0.2857142857142857,0.4750915022081087,0.49510712621507286
U01,U07,0.5715256188707533,0.36363636363636365,0.4829025667212691,0.49296638941731064
U10,U17,0.4902356757642199,0.3333333333333333,0.6272195954098243,0.49210526605017957
U13,U15,0.6332822301614206,0.25,0.47928040444021786,0.49126112490470464
U13,U17,0.6262172646845937,0.25,0.4842542620984915,0.48957404773761465
U07,U08,0.6400907056032892,0.2,0.4925132918922667,0.4857948050891602
U08,U15,0.6118367074899147,0.3076923076923077,0.4416621962123029,0.48474825415722944
U05,U11,0.5896863240798002,0.3076923076923077,0.46454892453012664,0.48164660011802496
U08,U16,0.6108934009927621,0.2857142857142857,0.4470932401509656,0.4804585739206041
U01,U20,0.5526194254333543,0.4166666666666667,0.41923022038431207,0.4786144742269697
U14,U18,0.5687562880820689,0.3076923076923077,0.479493670975331,0.4767115078526073
U03,U12,0.49192510118494015,0.23076923076923078,0.6573942061286293,0.4762768650641196
U11,U12,0.5630661478701501,0.38461538461538464,0.4195823835391702,0.4754083277571647
U09,U16,0.5516768065067394,0.3333333333333333,0.47164090625065214,0.47308016813656173
U17,U18,0.5834451098907419,0.25,0.4819188825657854,0.46962596422056946
U10,U16,0.5089353683184883,0.13333333333333333,0.6796227589829592,0.4662410767715408
U02,U11,0.6191856770109907,0.23076923076923078,0.43173853983151894,0.4658474242967092
U16,U17,0.4885703093987405,0.15384615384615385,0.6882937655059984,0.46480630734277123
U02,U10,0.6118507461393922,0.23076923076923078,0.4392574046604807,0.4648023648531784
U10,U19,0.502449529268627,0.26666666666666666,0.5732823332775563,0.46475365482081565
U04,U05,0.5625048389864601,0.3076923076923077,0.44273624648682636,0.4628711284130319
U04,U19,0.5858288720637782,0.26666666666666666,0.4386875850066368,0.4618959345973579
U10,U11,0.5066049171779856,0.2857142857142857,0.5403502518163044,0.4615058597035563
U08,U12,0.5028103654549274,0.35714285714285715,0.48455975823210706,0.46091830621006374
U01,U15,0.5615115996940051,0.2727272727272727,0.45102718848538204,0.45617019458973507
